Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
661,Bradley Wright-Phillips\9bb42ab8,eng ENG,FW,Los Angeles FC,34,1985,11.9,12.4,16.6,74.6,164.7,29.2,7.39,9.33,79.3,3.78,4.79,78.9,0.42,0.84,50,0.34,0.1,0.24,0.67,0.42,0.5,0.08,0.84,Matches
662,Laurence Wyke\1a1614c5,eng ENG,DF,Atlanta Utd,23,1996,2.5,50.8,64.4,78.9,1175.2,307.2,11.2,13.6,82.4,28.8,32,90,10,16.4,61,0,0,0,0,4.4,0,0,4.4,Matches
663,Karifa Yao\01880958,ca CAN,DF,Montreal Impact,19,2000,1.4,22.1,29.3,75.6,463.6,160,7.14,9.29,76.9,11.4,12.9,88.9,3.57,7.14,50,0,0,0,0,1.43,0,0,1.43,Matches
664,William Yarbrough\ec646e88,us USA,GK,Colorado Rapids,30,1989,14,24.1,31.8,76,738.6,470.9,3.64,3.79,96.2,10.8,11.1,97.4,9.71,16.9,57.4,0,0,0,0,0.21,0,0,0,Matches
665,Dru Yearwood\2eb09121,eng ENG,MF,NY Red Bulls,19,2000,6.8,31.2,42.1,74.1,592.6,177.5,13.5,17.2,78.6,12.9,15.9,81.5,4.41,8.09,54.5,0,0.01,-0.01,0.29,5.59,0.59,0,3.68,Matches
666,Griffin Yow\ddd5cf39,us USA,MFFW,D.C. United,17,2002,4.3,16.5,22.6,73.2,262.8,51.9,9.77,11.6,84,4.65,6.05,76.9,1.63,2.79,58.3,0,0.21,-0.21,0.47,0.93,0.23,0,1.4,Matches
667,Jackson Yueill\7dce16bf,us USA,MF,San Jose,22,1997,20.7,53,60,88.3,1072.9,273.2,20.2,21.8,92.7,24.3,26.1,93,8.07,11.1,72.6,0.05,0.08,-0.03,0.97,5.6,0.29,0.05,4.93,Matches
668,Wilfried Zahibo\784ec3de,cf CTA,MF,Houston Dynamo,26,1993,1.3,36.2,46.9,77,666.9,141.5,10.8,13.1,82.4,23.1,26.9,85.7,2.31,5.38,42.9,0,0,0,0,1.54,0,0,2.31,Matches
669,Wilfried Zahibo\784ec3de,cf CTA,MF,New England,26,1993,2,39.5,46,85.9,742,291.5,17,18,94.4,17,19.5,87.2,5.5,8,68.8,0,0,0,0,6.5,0.5,0,5,Matches
670,Renzo Zambrano\526bf96c,ve VEN,MF,Portland Timbers,25,1994,1.1,43.6,50.9,85.7,872.7,121.8,15.5,19.1,81,20,23.6,84.6,8.18,8.18,100,0,0,0,1.82,2.73,0,0,3.64,Matches
