Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
232,Erik Godoy\e8b80334,ar ARG,DF,Vancouver,26,1993,10.4,440,500,88,10607,4338,88,94,93.6,233,254,91.7,115,142,81,0,0.1,-0.1,3,29,5,0,42,Matches
233,Yeimar Gómez Andrade\e43c8d72,co COL,DF,Seattle,27,1992,18,860,1006,85.5,20582,6787,206,237,86.9,412,453,90.9,238,298,79.9,0,0,0,2,55,0,0,48,Matches
234,Leandro González Pirez\5ba1112c,ar ARG,DF,Inter Miami,27,1992,16,607,721,84.2,14812,5782,133,151,88.1,318,340,93.5,155,221,70.1,1,0.1,+0.9,2,57,3,2,52,Matches
235,Giancarlo González\117beb8f,cr CRC,DF,LA Galaxy,31,1988,8.4,228,285,80,5731,1936,39,43,90.7,122,133,91.7,66,103,64.1,0,0,0,0,10,0,0,14,Matches
236,Jesse Gonzalez\203a7651,mx MEX,GK,FC Dallas,24,1995,2,50,62,80.6,1177,677,13,13,100,24,25,96,12,23,52.2,0,0,0,0,1,0,0,0,Matches
237,Omar Gonzalez\0d2fe665,us USA,DF,Toronto FC,31,1988,20.8,856,985,86.9,18635,6532,215,239,90,485,520,93.3,144,206,69.9,0,0,0,1,40,3,1,48,Matches
238,Yony González\c6c88c7d,co COL,FW,LA Galaxy,25,1994,5.3,100,135,74.1,1363,221,62,75,82.7,34,41,82.9,1,7,14.3,1,0.8,+0.2,4,5,2,0,5,Matches
239,Ján Greguš\7d974435,sk SVK,MF,Minnesota Utd,29,1991,17.7,957,1155,82.9,19181,5696,380,413,92,405,460,88,161,252,63.9,5,2.1,+2.9,30,100,9,3,103,Matches
240,Julian Gressel\acd47bc0,de GER,MFDF,D.C. United,26,1993,18.6,636,966,65.8,14664,4968,202,262,77.1,283,360,78.6,145,305,47.5,3,3.1,-0.1,39,55,25,10,78,Matches
241,Brian Gutiérrez\d88f31db,us USA,DFFW,Chicago Fire,16,2003,0.4,10,18,55.6,199,97,3,6,50,6,8,75,1,3,33.3,0,0.6,-0.6,2,2,2,0,3,Matches
242,Cristián Gutiérrez\6e56a4f2,cl CHI,DFMF,Vancouver,22,1997,7.4,350,445,78.7,6362,2709,166,183,90.7,137,161,85.1,43,84,51.2,1,1.5,-0.5,10,24,5,3,25,Matches
243,Andrew Gutman\b7a23251,us USA,DF,FC Cincinnati,23,1996,16,611,763,80.1,11564,3759,246,275,89.5,287,331,86.7,69,128,53.9,0,0.6,-0.6,11,34,7,2,40,Matches
244,Brad Guzan\d899e3bf,us USA,GK,Atlanta Utd,35,1984,23,742,930,79.8,22703,12689,88,91,96.7,340,344,98.8,308,488,63.1,0,0,0,0,8,0,0,0,Matches
245,Joe Gyau\3511b4f8,us USA,FWDF,FC Cincinnati,27,1992,19.9,565,694,81.4,8625,1783,312,352,88.6,217,261,83.1,25,46,54.3,0,1.3,-1.3,16,24,10,5,36,Matches
246,Nick Hagglund\39632554,us USA,DF,FC Cincinnati,27,1992,8.3,408,489,83.4,9186,3170,105,120,87.5,224,246,91.1,77,118,65.3,0,0.2,-0.2,3,20,4,1,19,Matches
247,Marlon Hairston\1d531c57,us USA,MFDF,Minnesota Utd,25,1994,4.5,172,201,85.6,2624,708,98,111,88.3,52,57,91.2,14,18,77.8,0,0.2,-0.2,3,8,1,0,12,Matches
248,Siad Haji\9212f1cb,so SOM,MF,San Jose,20,1999,0.6,40,43,93,785,172,17,17,100,15,15,100,8,9,88.9,0,0.1,-0.1,2,1,0,0,7,Matches
249,Bill Hamid\012fc030,us USA,GK,D.C. United,29,1990,17,328,484,67.8,9580,6167,46,46,100,149,151,98.7,132,285,46.3,0,0,0,0,0,0,0,0,Matches
250,Jordan Hamilton\d80a3a57,ca CAN,FW,Columbus Crew,23,1996,0.2,4,7,57.1,41,9,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,Matches
251,Niko Hansen\9bebd450,dk DEN,FWMF,Houston Dynamo,25,1994,8,165,230,71.7,2737,695,88,110,80,59,83,71.1,15,23,65.2,1,1.3,-0.3,8,6,9,3,24,Matches
252,Carlos Harvey\3f18600c,pa PAN,MFFW,LA Galaxy,19,2000,1.2,38,43,88.4,713,139,15,17,88.2,16,18,88.9,4,5,80,0,0,0,1,4,0,0,1,Matches
253,Jordan Harvey\bb78f8a5,us USA,DF,Los Angeles FC,36,1984,8.4,399,490,81.4,7371,2543,169,176,96,190,226,84.1,37,74,50,0,0.3,-0.3,5,39,4,2,37,Matches
254,Thomas Hasal\86bac87b,ca CAN,GK,Vancouver,20,1999,8.4,194,279,69.5,6298,3513,25,25,100,77,79,97.5,92,175,52.6,0,0,0,0,0,0,0,0,Matches
255,Jacori Hayes\d2173b7b,us USA,MF,Minnesota Utd,24,1995,6.7,271,317,85.5,4752,1371,130,148,87.8,110,120,91.7,26,34,76.5,1,1.2,-0.2,7,39,4,0,23,Matches
256,Héber\d552c4a1,br BRA,FW,NYCFC,28,1991,9.9,210,272,77.2,3218,448,117,140,83.6,57,76,75,20,27,74.1,2,1.8,+0.2,14,11,5,0,11,Matches
257,Matt Hedges\5e2a4d0e,us USA,DF,FC Dallas,29,1990,17.1,822,946,86.9,18751,8414,215,232,92.7,410,439,93.4,187,260,71.9,0,0.2,-0.2,4,55,2,1,49,Matches
258,Fabian Herbers\5cbf5ccd,de GER,MFFW,Chicago Fire,26,1993,15.1,461,602,76.6,6804,1845,277,330,83.9,135,177,76.3,32,45,71.1,1,2.8,-1.8,21,41,21,5,55,Matches
259,Felipe Hernandez\31a4d0b8,us USA,MF,Sporting KC,21,1998,8.7,144,191,75.4,2325,602,72,88,81.8,55,66,83.3,10,28,35.7,0,0.4,-0.4,3,18,3,0,12,Matches
260,Javier Hernández\189cee7b,mx MEX,FW,LA Galaxy,31,1988,8.4,138,179,77.1,2439,501,73,87,83.9,43,55,78.2,17,28,60.7,0,0.8,-0.8,6,18,4,0,17,Matches
261,Aaron Herrera\d86e3070,us USA,DF,Real Salt Lake,22,1997,19.9,895,1142,78.4,19328,6313,320,353,90.7,404,476,84.9,166,273,60.8,1,1.7,-0.7,18,61,22,11,75,Matches
262,Federico Higuaín\ef8fc24c,ar ARG,MFFW,D.C. United,35,1984,1.8,121,158,76.6,2417,570,49,53,92.5,54,67,80.6,16,34,47.1,0,0.1,-0.1,2,18,2,0,16,Matches
263,Federico Higuaín\ef8fc24c,ar ARG,MFDF,Inter Miami,35,1984,0.3,24,30,80,471,125,9,10,90,11,12,91.7,4,7,57.1,0,0,0,0,3,1,0,3,Matches
264,Gonzalo Higuaín\8a08491a,ar ARG,FW,Inter Miami,32,1987,8.9,242,292,82.9,5191,852,104,119,87.4,76,93,81.7,59,68,86.8,2,1.3,+0.7,11,22,10,0,28,Matches
265,Danny Hoesen\5ef1939b,nl NED,FW,San Jose,29,1991,2.8,43,72,59.7,698,102,24,31,77.4,16,28,57.1,2,6,33.3,0,0.1,-0.1,1,3,2,1,2,Matches
266,Ryan Hollingshead\28b58797,us USA,DFFW,FC Dallas,28,1991,19.2,756,929,81.4,13937,4372,324,382,84.8,343,388,88.4,79,132,59.8,0,2.3,-2.3,22,50,13,3,77,Matches
267,Erik Holt\3677d047,us USA,DF,Real Salt Lake,23,1996,4.3,200,241,83,5025,1791,35,42,83.3,101,110,91.8,62,86,72.1,0,0,0,0,18,1,0,14,Matches
268,Shandon Hopeau\74828ac5,us USA,FWMF,Seattle,21,1998,0.9,28,36,77.8,412,62,18,23,78.3,9,10,90,1,1,100,0,0,0,0,2,0,0,1,Matches
269,Erik Hurtado\b11e6f2b,us USA,FW,Sporting KC,29,1990,4.2,77,97,79.4,996,124,49,56,87.5,17,22,77.3,4,6,66.7,0,0.1,-0.1,2,6,2,1,4,Matches
